Id_cliente,fecha_efectiva,Id_tx,clase,valor
117,2020-11-03,4170,AVANCE,70000.0
114,2020-10-10,4170,COMPRA,38275.0
114,2020-10-10,4170,AVANCE,70000.0
119,2020-12-12,3999,COMPRA,2135500.0
122,2020-09-16,7026,COMPRA,16600.0
94,2020-12-15,5543,COMPRA,20000.0
112,2020-12-11,8182,COMPRA,565100.0
134,2021-01-06,9321,COMPRA,189096.0
134,2021-01-06,9321,COMPRA,179940.0
118,2020-12-05,9321,COMPRA,189096.0
118,2020-12-05,9321,COMPRA,179940.0
123,2021-01-28,4685,COMPRA,29100.0
116,2020-09-18,6484,COMPRA,451818.0
133,2020-10-09,2749,COMPRA,30000.0
133,2021-01-28,3365,COMPRA,34789.0
122,2021-02-27,3002,AVANCE,800000.0
129,2020-12-30,5814,AVANCE,800000.0
143,2021-02-02,9729,AVANCE,800000.0
143,2021-02-02,9729,COMPRA,105085.37
143,2021-02-02,9729,COMPRA,81916.0
131,2020-12-25,9729,AVANCE,800000.0
131,2020-12-25,9729,COMPRA,105085.37
131,2020-12-25,9729,COMPRA,81916.0
137,2020-11-28,9729,AVANCE,800000.0
137,2020-11-28,9729,COMPRA,105085.37
137,2020-11-28,9729,COMPRA,81916.0
129,2020-11-12,6609,COMPRA,6500.0
115,2020-11-29,7382,COMPRA,151184.0
121,2020-09-16,8870,COMPRA,175900.0
130,2020-10-15,4513,AVANCE,300000.0
130,2020-10-15,4513,AVANCE,100000.0
142,2020-12-31,4513,AVANCE,300000.0
142,2020-12-31,4513,AVANCE,100000.0
117,2021-02-17,9685,COMPRA,2376299.0
130,2021-02-25,4741,AVANCE,100000.0
130,2021-02-25,4741,AVANCE,100000.0
140,2020-10-16,4741,AVANCE,100000.0
140,2020-10-16,4741,AVANCE,100000.0
130,2020-10-21,7218,AVANCE,800000.0
136,2020-12-13,7036,COMPRA,240000.0
136,2020-12-13,7036,COMPRA,859.0
147,2021-01-15,7036,COMPRA,240000.0
